Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2018.0,1.0,1.0,,,,,,,,,
Admiralty,2018.0,1.0,2.0,,,,,,,,,
Admiralty,2018.0,1.0,3.0,,,,,,,,,
Admiralty,2018.0,1.0,4.0,,,,,,,,,
Admiralty,2018.0,1.0,5.0,5.0,2.0,3.6,5.0,25.9,28.2,24.8,5.8,18.0
Admiralty,2018.0,1.0,6.0,0.0,0.0,0.0,0.0,27.1,31.2,24.6,6.8,23.0
Admiralty,2018.0,1.0,7.0,2.4,2.0,2.0,2.4,26.6,32.1,24.2,9.0,28.8
Admiralty,2018.0,1.0,8.0,48.0,17.0,26.0,35.2,26.3,31.6,22.6,6.8,22.3
Admiralty,2018.0,1.0,9.0,7.2,5.2,7.0,7.0,26.9,32.1,25.1,8.6,32.4
Admiralty,2018.0,1.0,10.0,22.2,3.2,5.6,9.0,24.4,26.3,23.1,8.6,29.2
Admiralty,2018.0,1.0,11.0,14.4,1.0,1.6,2.8,23.4,25.4,21.7,10.8,40.0
Admiralty,2018.0,1.0,12.0,8.6,0.8,1.4,2.0,22.5,23.4,21.7,11.5,33.5
Admiralty,2018.0,1.0,13.0,15.6,3.4,4.2,5.8,22.7,23.4,22.0,9.4,24.8
Admiralty,2018.0,1.0,14.0,5.8,1.0,1.6,2.8,23.1,24.8,21.2,11.5,38.2
Admiralty,2018.0,1.0,15.0,0.6,0.4,0.4,0.6,24.5,27.3,22.6,10.8,33.8
Admiralty,2018.0,1.0,16.0,0.0,0.0,0.0,0.0,25.9,29.1,23.3,11.5,28.4
Admiralty,2018.0,1.0,17.0,0.0,0.0,0.0,0.0,27.0,31.0,24.6,13.3,35.6
Admiralty,2018.0,1.0,18.0,0.0,0.0,0.0,0.0,27.0,31.1,24.5,13.7,35.3
Admiralty,2018.0,1.0,19.0,5.6,3.2,3.2,5.2,26.7,33.4,24.1,9.0,37.4
