Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Seletar,2018.0,1.0,1.0,15.8,,,,,,,8.3,35.3
Seletar,2018.0,1.0,2.0,8.2,,,,,,,8.3,24.1
Seletar,2018.0,1.0,3.0,26.4,,,,,,,7.9,33.5
Seletar,2018.0,1.0,4.0,0.0,,,,,,,11.5,27.7
Seletar,2018.0,1.0,5.0,2.2,,,,,,,6.5,20.5
Seletar,2018.0,1.0,6.0,0.0,,,,,,,8.3,20.5
Seletar,2018.0,1.0,7.0,4.0,,,,,,,7.9,35.3
Seletar,2018.0,1.0,8.0,64.0,,,,,,,9.0,31.3
Seletar,2018.0,1.0,9.0,10.0,,,,,,,8.6,35.3
Seletar,2018.0,1.0,10.0,26.6,,,,,,,6.8,29.5
Seletar,2018.0,1.0,11.0,13.4,,,,,,,7.6,40.7
Seletar,2018.0,1.0,12.0,11.2,,,,,,,8.3,31.3
Seletar,2018.0,1.0,13.0,23.8,,,,,,,7.2,29.5
Seletar,2018.0,1.0,14.0,6.6,,,,,,,9.0,29.5
Seletar,2018.0,1.0,15.0,1.0,,,,,,,7.9,29.5
Seletar,2018.0,1.0,16.0,0.0,,,,,,,9.4,27.7
Seletar,2018.0,1.0,17.0,0.0,,,,,,,14.4,33.5
Seletar,2018.0,1.0,18.0,0.0,,,,,,,15.8,37.1
Seletar,2018.0,1.0,19.0,1.2,,,,,,,9.7,33.5
Seletar,2018.0,1.0,20.0,28.6,,,,,,,5.8,29.5
Seletar,2018.0,1.0,21.0,0.8,,,,,,,8.3,33.5
Seletar,2018.0,1.0,22.0,0.0,,,,,,,8.3,25.9
Seletar,2018.0,1.0,23.0,5.4,,,,,,,6.8,42.5
Seletar,2018.0,1.0,24.0,8.2,,,,,,,7.9,38.9
Seletar,2018.0,1.0,25.0,30.2,,,,,,,7.2,38.9
Seletar,2018.0,1.0,26.0,0.2,,,,,,,7.2,31.3
Seletar,2018.0,1.0,27.0,0.2,,,,,,,9.7,27.7
Seletar,2018.0,1.0,28.0,55.2,,,,,,,7.2,50.0
Seletar,2018.0,1.0,29.0,0.0,,,,,,,9.0,33.5
Seletar,2018.0,1.0,30.0,100.0,,,,,,,10.8,92.5
Seletar,2018.0,1.0,31.0,13.4,,,,,,,10.8,33.5
Seletar,2018.0,2.0,1.0,0.0,,,,,,,15.8,40.7
